"variable","category","frequency","proportion"
"experienced_fistula","0",5332.38885499996,98.8187009266585
"experienced_fistula","1",63.744473,1.1812990733427
"age","1",480.363298,8.90199090351319
"age","2",1325.05187299999,24.5555806807895
"age","3",1300.39872599999,24.098713781818
"age","4",1146.68316799999,21.2500896160216
"age","5",788.12144,14.6052996116779
"age","6",311.021786,5.76378986757316
"age","7",44.493037,0.824535538607439
"age_sex","1",5031.90801299999,93.2502536008513
"age_sex","2",364.225315,6.7497463991498
"age_sex","3",0,0
"number_birth","0",3367.98375600001,62.4147616687658
"number_birth","1",2028.14957199999,37.5852383312354
"religion","1",2581.16563600001,47.8336149073006
"religion","2",2397.26827600001,44.4256679789738
"religion","3",140.635756,2.60623204527316
"religion","4",266.41581,4.93716136733681
"religion","5",10.64785,0.197323701116676
"residence","1",2765.193391,51.2439782881515
"residence","2",2630.93993700001,48.7560217118495
"wealth","1",1252.518126,23.2114006431386
"wealth","2",1173.84794199999,21.7535014546254
"wealth","3",1072.056995,19.8671331828887
"wealth","4",1030.540375,19.0977559737569
"wealth","5",867.169889999998,16.070208745591
"education","0",3215.91895700001,59.596729019147
"education","1",1015.90945,18.8266187703064
"education","2",945.376758999997,17.5195218786485
"education","3",218.928162,4.05713033189905
"occupation","0",2152.69778500001,39.8933394367756
"occupation","1",3228.24677900001,59.8251856055703
"occupation","2",15.188764,0.281474957655088
"contraception_use","1",1083.222736,20.0740543303345
"contraception_use","2",4096.39570200001,75.9135375833703
"contraception_use","3",216.51489,4.0124080862963
"delivery_place","1",980.16171,18.1641492235569
"delivery_place","2",80.722354,1.49592956832887
"delivery_place","3",4335.249264,80.3399212081155
"distance","0",2842.980003,52.6855033074903
"distance","1",2553.15332500002,47.3144966925105
"delivery_professional","1",5141.88518499994,95.2883272605467
"delivery_professional","2",7.686172,0.142438511667554
"delivery_professional","3",246.561971,4.56923422778707
"postpartum_care","1",1778.66772599999,32.9618935983418
"postpartum_care","2",9.227528,0.171002594619361
"postpartum_care","3",3608.238074,66.8671038070399
