"variable","category","frequency","proportion"
"experienced_fistula","0",5212.97662499999,95.4027966612859
"experienced_fistula","1",251.199277,4.59720333871492
"age","1",547.045836000001,10.0114975398169
"age","2",1058.7853,19.3768524108542
"age","3",1402.46311,25.6665073590817
"age","4",1034.493184,18.932281876602
"age","5",829.672059999999,15.1838461074491
"age","6",414.296816,7.5820548867828
"age","7",177.419596,3.24695981941322
"age_sex","1",4895.03087899997,89.5840647664427
"age_sex","2",569.145023,10.4159352335579
"age_sex","3",0,0
"number_birth","0",3012.394522,55.1298965484879
"number_birth","1",2451.78137999999,44.8701034515122
"religion","1",4762.28745399997,87.1547245076233
"religion","2",605.953326,11.0895647736781
"religion","3",3.978837,0.0728167809997417
"religion","4",91.956285,1.68289393769959
"religion","5",0,0
"residence","1",1645.92694699999,30.1221442449821
"residence","2",3818.248955,69.8778557550181
"wealth","1",1258.534355,23.0324641368033
"wealth","2",1191.896533,21.8129239317449
"wealth","3",1070.908063,19.5987113556872
"wealth","4",1060.028478,19.3996038380099
"wealth","5",882.808472999997,16.1562967377546
"education","0",4147.99371599999,75.9125216756249
"education","1",610.091989000001,11.1653065337207
"education","2",586.203277,10.7281187046968
"education","3",119.88692,2.19405308595792
"occupation","0",1365.704776,24.9937923026988
"occupation","1",4074.553071,74.5684828614071
"occupation","2",23.918055,0.437724835894201
"contraception_use","1",396.549485,7.25726060273525
"contraception_use","2",4739.06844499997,86.7297929275197
"contraception_use","3",328.557972,6.01294646974562
"delivery_place","1",2342.90998699999,42.8776457606799
"delivery_place","2",374.198727,6.84821890274497
"delivery_place","3",2747.067188,50.2741353365752
"distance","0",2838.41921099999,51.9459706624944
"distance","1",2625.756691,48.0540293375058
"delivery_professional","1",4695.28959799999,85.9285953126337
"delivery_professional","2",0,0
"delivery_professional","3",768.886304000001,14.0714046873669
"postpartum_care","1",1619.800893,29.6440107721847
"postpartum_care","2",0,0
"postpartum_care","3",3844.37500900001,70.3559892278154
