"variable","category","frequency","proportion"
"experienced_fistula","0",13115.4374349998,99.7992932549778
"experienced_fistula","1",26.376507,0.200706745023254
"age","1",769.658265,5.85656035305945
"age","2",2652.640522,20.1847365493622
"age","3",3421.32651900001,26.0338986238867
"age","4",2821.71791400001,21.4712970861816
"age","5",2025.546198,15.41298794017
"age","6",1041.132421,7.92228854855915
"age","7",409.792103,3.11823089878293
"age_sex","1",10990.407992,83.6293074951838
"age_sex","2",2151.40595,16.3706925048174
"age_sex","3",0,0
"number_birth","0",6622.95162300002,50.3960233513414
"number_birth","1",6518.86231900006,49.6039766486611
"religion","1",8576.03860700015,65.2576474210456
"religion","2",4497.81476600004,34.2252202462364
"religion","3",41.126247,0.312941936185575
"religion","4",0,0
"religion","5",26.834322,0.204190396534534
"residence","1",4857.71288500006,36.9637928709013
"residence","2",8284.10105700011,63.0362071291008
"wealth","1",3086.272161,23.4843696206703
"wealth","2",3078.99346900001,23.4289838723092
"wealth","3",2640.18233300001,20.0899384563822
"wealth","4",2279.74160999999,17.3472369952995
"wealth","5",2056.624369,15.6494710553409
"education","0",6313.39010300013,48.0404769909517
"education","1",1928.594239,14.6752514341756
"education","2",3829.11811300002,29.1369070502709
"education","3",1070.711487,8.14736452460435
"occupation","0",0,0
"occupation","1",9341.22431599995,71.0801747553772
"occupation","2",3800.58962600001,28.9198252446242
"contraception_use","1",1319.976545,10.0440970388532
"contraception_use","2",11128.101954,84.6770621096357
"contraception_use","3",693.735442999999,5.27884085151212
"delivery_place","1",7453.8171140001,56.7183278267129
"delivery_place","2",933.499242000002,7.10327543914344
"delivery_place","3",4754.49758600005,36.1783967341463
"distance","0",9453.74048400003,71.9363439911976
"distance","1",3688.07345800001,28.0636560088054
"delivery_professional","1",9679.751365,73.6561285049437
"delivery_professional","2",0,0
"delivery_professional","3",3462.06257700001,26.3438714950578
"postpartum_care","1",2025.693013,15.4141050994955
"postpartum_care","2",0,0
"postpartum_care","3",11116.120929,84.5858949005057
