"variable","category","frequency","proportion"
"experienced_fistula","0",7207.11584300001,98.55868591512
"experienced_fistula","1",105.396267,1.44131408488019
"age","1",597.030627000001,8.16450787388847
"age","2",1609.710548,22.0130992439477
"age","3",1906.248058,26.0683063402133
"age","4",1305.850601,17.8577564229154
"age","5",1232.087416,16.8490307771948
"age","6",450.761015,6.16424298817331
"age","7",210.823845,2.88305635366667
"age_sex","1",6962.18686099998,95.2092352979367
"age_sex","2",350.325249,4.7907647020635
"age_sex","3",0,0
"number_birth","0",4431.35118500001,60.599573967748
"number_birth","1",2881.160925,39.4004260322516
"religion","1",5756.909984,78.7268437631348
"religion","2",1553.602622,21.2458126377038
"religion","3",0,0
"religion","4",1.999504,0.0273435991615745
"religion","5",0,0
"residence","1",2785.57391899999,38.0932554653916
"residence","2",4526.938191,61.9067445346079
"wealth","1",1584.78985499999,21.6723040066186
"wealth","2",1550.747782,21.2067721553489
"wealth","3",1485.58393300001,20.3156440721436
"wealth","4",1441.453922,19.7121577416437
"wealth","5",1249.936618,17.093122024245
"education","0",3854.39610400002,52.7096030204043
"education","1",1026.676586,14.0399984376914
"education","2",2210.07647599999,30.2232179961477
"education","3",221.362944,3.02718054575638
"occupation","0",1449.25418,19.8188277598626
"occupation","1",5863.25792999996,80.1811722401374
"occupation","2",0,0
"contraception_use","1",1838.18377399999,25.1375142543182
"contraception_use","2",5429.53929899997,74.2499871087389
"contraception_use","3",44.789037,0.612498636942427
"delivery_place","1",1001.110521,13.6903776149779
"delivery_place","2",296.71576,4.05764469906634
"delivery_place","3",6014.68582899999,82.2519776859561
"distance","0",3862.87768699998,52.8255902881504
"distance","1",3449.634423,47.1744097118493
"delivery_professional","1",7198.61165000001,98.4423894513047
"delivery_professional","2",0,0
"delivery_professional","3",113.90046,1.55761054869555
"postpartum_care","1",2714.638525,37.1232004017836
"postpartum_care","2",0,0
"postpartum_care","3",4597.87358500001,62.8767995982159
