"variable","category","frequency","proportion"
"experienced_fistula","0",1453.05154699999,98.9758837493643
"experienced_fistula","1",15.034912,1.02411625063562
"age","1",67.023614,4.56537239950119
"age","2",250.691208,17.076052058321
"age","3",333.499304,22.7165983280826
"age","4",332.855981,22.6727778162827
"age","5",278.582612,18.9758995658716
"age","6",138.600477,9.44089335817522
"age","7",66.833263,4.55240647376616
"age_sex","1",762.814447999998,51.9597768458135
"age_sex","2",90.993353,6.19809224737223
"age_sex","3",614.278657999999,41.842130906815
"number_birth","0",654.808576999999,44.6028619762649
"number_birth","1",813.277882,55.3971380237358
"religion","1",198.547593000001,13.52424387425
"religion","2",542.758637,36.9704817909504
"religion","3",511.562277,34.8455142995092
"religion","4",214.348321,14.6005243550851
"religion","5",0.869631,0.0592356802059438
"residence","1",236.028958,16.0773200074861
"residence","2",1232.05750099999,83.9226799925143
"wealth","1",574.823543000002,39.1546110568686
"wealth","2",394.168645,26.8491438350636
"wealth","3",278.805161,18.9910586866874
"wealth","4",128.581793,8.75846188838125
"wealth","5",91.7073170000001,6.24672453299977
"education","0",875.017243999998,59.6025689519697
"education","1",450.403937000001,30.6796601956808
"education","2",136.658735,9.30862989452863
"education","3",6.006543,0.409140957821479
"occupation","0",208.427796,14.1972425889667
"occupation","1",1258.81154799999,85.7450554279653
"occupation","2",0.847115,0.0577019830682877
"contraception_use","1",226.722621,15.4434106799429
"contraception_use","2",1221.96636699999,83.2353135272672
"contraception_use","3",19.397471,1.32127579279036
"delivery_place","1",1104.60535999999,75.2411653433829
"delivery_place","2",105.283233,7.17145998824314
"delivery_place","3",258.197866,17.5873746683744
"distance","0",763.709836999999,52.0207670548377
"distance","1",704.376622,47.9792329451631
"delivery_professional","1",1161.09974399999,79.089329983392
"delivery_professional","2",0,0
"delivery_professional","3",306.986715000001,20.9106700166084
"postpartum_care","1",599.821098,40.857341495308
"postpartum_care","2",0,0
"postpartum_care","3",868.265360999998,59.1426585046927
