"age_sex","country","experienced_fistula","se"
1,"Cote d'lvoire",0.0123622542064145,0.00253212172115454
2,"Cote d'lvoire",0.00422471183805552,0.00395696836132528
1,"GuineaBissau",0.0462869637803569,0.00331208781308282
2,"GuineaBissau",0.043263419699622,0.00900871937392127
1,"Mali",0.00460168786034313,0.00084580883728132
2,"Mali",0.00470650489505793,0.00238013024477945
1,"Nigeria",0.00223742458131666,0.000483045255399021
2,"Nigeria",0.000830293325162554,0.000658249144135594
1,"SierraLeone",0.0151383852666175,0.00162878151499912
2,"SierraLeone",0,0
1,"Togo",0.00601589024962989,0.00300504020545602
2,"Togo",0.00897853494859125,0.00894522027361311
3,"Togo",0.0156751612230031,0.00485096913005132
