"delivery_professional","country","experienced_fistula","se"
1,"Cote d'lvoire",0.0123283287586673,0.00249298818434351
2,"Cote d'lvoire",0,0
3,"Cote d'lvoire",0.00143421144212057,0.0014353420153549
1,"GuineaBissau",0.0497038996485772,0.0034751954163921
3,"GuineaBissau",0.0231829776486693,0.00616770104532922
1,"Mali",0.00415384700591948,0.000822426062698705
3,"Mali",0.00653057033338191,0.0023015481594379
1,"Nigeria",0.00172635694553297,0.000461476054831922
3,"Nigeria",0.00279191978337253,0.000924219664715658
1,"SierraLeone",0.014438299640737,0.00156914091740898
3,"SierraLeone",0.0128230825406675,0.00916817229390778
1,"Togo",0.00976258418673813,0.00289215988709729
3,"Togo",0.0120512641727835,0.0061265508276205
