"education","country","experienced_fistula","se"
0,"Cote d'lvoire",0.0120103744890484,0.00294667617996672
1,"Cote d'lvoire",0.00875954249662706,0.00599293077292098
2,"Cote d'lvoire",0.0108181123585248,0.00536026532578828
3,"Cote d'lvoire",0.0273787892121435,0.0158954984894723
0,"GuineaBissau",0.0444078170344076,0.00352445625398954
1,"GuineaBissau",0.0501114185257725,0.00951359164648217
2,"GuineaBissau",0.0537730361408402,0.0102477719181177
3,"GuineaBissau",0.0408837427802799,0.0197058495419506
0,"Mali",0.00370530050293608,0.000854695527088241
1,"Mali",0.00712356330083241,0.00294854802669564
2,"Mali",0.00738116206656332,0.00247882279565795
3,"Mali",7.62370461064126e-05,7.67590132547363e-05
0,"Nigeria",0.00271578260178352,0.000728099782828777
1,"Nigeria",0.000206083266227157,0.000206121000603496
2,"Nigeria",0.00217719374382745,0.000767743053574095
3,"Nigeria",0.00046373743630155,0.000463855669041523
0,"SierraLeone",0.0186510833500987,0.00243091934709348
1,"SierraLeone",0.0119148300124963,0.00353054955459798
2,"SierraLeone",0.00872827895752874,0.00228470572112091
3,"SierraLeone",0.00896610319747103,0.00635353553807015
0,"Togo",0.0127534732332658,0.00374274688305135
1,"Togo",0.00860428313707212,0.00447740921494251
2,"Togo",0,0
3,"Togo",0,0
