"number_birth","country","experienced_fistula","se"
0,"Cote d'lvoire",0.0143001381506663,0.0035909492319244
1,"Cote d'lvoire",0.00768278642518188,0.00208484375571892
0,"GuineaBissau",0.0457614495688556,0.004288698930716
1,"GuineaBissau",0.046230768340365,0.00450968946376486
0,"Mali",0.00466621907253035,0.00112499957092174
1,"Mali",0.00456131718030649,0.00113064415505816
0,"Nigeria",0.00248792742842596,0.000678428832090643
1,"Nigeria",0.00151852938681461,0.000485132052535578
0,"SierraLeone",0.0165963725125071,0.0021158375622012
1,"SierraLeone",0.0110552353128279,0.00221615487264833
0,"Togo",0.00359863795736445,0.00216611923899192
1,"Togo",0.0155893739158641,0.00438940880811448
