"occupation","country","experienced_fistula","se"
0,"Cote d'lvoire",0.0176974502716831,0.0044434625104485
1,"Cote d'lvoire",0.00794462528913126,0.00264345684787461
2,"Cote d'lvoire",0,0
0,"GuineaBissau",0.0490336858864438,0.006034592942327
1,"GuineaBissau",0.0450187499840274,0.00364536067100589
2,"GuineaBissau",0.0335500524603694,0.0332033808016348
0,"Mali",0.00533904465960116,0.00134687276111957
1,"Mali",0.00414804719844973,0.000986052637605242
1,"Nigeria",0.00154533822459168,0.000412102312174581
2,"Nigeria",0.00314192195819038,0.00103126219995019
0,"SierraLeone",0.00517602923180804,0.00208418254918419
1,"SierraLeone",0.0166963292709862,0.00186321548376393
0,"Togo",0.00390238257856932,0.00389774119769173
1,"Togo",0.0112975981373823,0.00298723907542067
2,"Togo",0,0
