"residence","country","experienced_fistula","se"
1,"Cote d'lvoire",0.0159576827948523,0.00434916786320124
2,"Cote d'lvoire",0.00745680040965525,0.00167382130627356
1,"GuineaBissau",0.0624837494686212,0.0065269575992622
2,"GuineaBissau",0.0388543522825374,0.00344472831220805
1,"Mali",0.00334659606896016,0.00124320549656342
2,"Mali",0.0049619929937435,0.000959721653487763
1,"Nigeria",0.00103743286589898,0.000405930582664825
2,"Nigeria",0.00257565134142951,0.000618907049931738
1,"SierraLeone",0.0120325451682979,0.00230602817280941
2,"SierraLeone",0.0158779996472896,0.00206430156879438
1,"Togo",0.0203435207301978,0.0100906964966265
2,"Togo",0.00830582338218329,0.00244981990301425
